race_id,circuit,place_code,place,race_no,race_name,surface,distance_m,weather,going,start_time,head_count,horse_ids,jockey_ids,trainer_ids
202648061904,nar,48,名古屋,4,B12組,ダ,1500,,−,14:00,9,"['2021104935', '2018104676', '2022102142', '2021103844', '2022102426', '2022101990', '2022101048', '2021103284', '2018106586']","['05370', 'a05dc', '05602', '05648', 'a023e', '05324', 'a06c6', '05638', 'a01b4']","['05322', '00849', '05274', '05274', '05214', 'a022c', '05200', 'a048d', '05357']"
202648061905,nar,48,名古屋,5,B11組,ダ,1500,,−,14:35,9,"['2022106345', '2022102706', '2022103621', '2022101560', '2022103895', '2022106082', '2022104525', '2020103968', '2019106109']","['05324', '05489', '05666', '05370', 'a06c6', '05053', '05408', '05638', 'a05dc']","['a022c', 'a030a', '05200', '05214', 'a02e8', 'a02e8', '05177', 'a0730', '05131']"
202648061906,nar,48,名古屋,6,健太まだ若いぞ!35歳記念(B),ダ,1500,,−,15:10,9,"['2021100912', '2021100664', '2021102615', '2020105915', '2022105675', '2022105736', '2022100566', '2020102443', '2022106401']","['05324', '05648', '05370', '05489', '05053', 'a02bb', 'a06c6', '05512', '05638']","['05368', 'a02e8', '05346', 'a02e8', '05274', '00823', '05274', '05346', '05368']"
202648061907,nar,48,名古屋,7,B9組,ダ,1700,,−,15:40,9,"['2021103141', '2021106168', '2022100876', '2022106100', '2022104305', '2022101314', '2022100114', '2022104415', '2022106701']","['05666', 'a05dc', 'a02bb', '05370', 'a0571', '05557', 'a06c6', '05648', '05408']","['a0715', '05131', '05131', 'a03ea', '05131', '05270', '05200', 'a0712', '05200']"
202648061908,nar,48,名古屋,8,七変化雨彩特別(A),ダ,1700,,−,16:10,12,"['2019100715', '2020106927', '2018105908', '2020103045', '2021110132', '2020106823', '2020104726', '2022102958', '2015110063', '2021101263', '2021101691', '2020103642']","['05638', '05408', '05053', 'a01b4', '05602', '05489', '05557', 'a06c6', 'a05dc', 'a02bb', 'a023e', '05666']","['a03eb', '05668', 'a048d', '05486', '05242', '05279', '05242', '05177', '05230', 'a030a', '05281', 'a030a']"
202648061909,nar,48,名古屋,9,駿芽疾風特別(3歳),ダ,920,,−,16:45,11,"['2023104118', '2023106408', '2023100269', '2023105129', '2023106442', '2023100886', '2023101930', '2023104142', '2023101668', '2023104206', '2023100341']","['a05dc', '05638', 'a0292', '05666', '05648', '05489', '05053', '05324', 'a023e', '05602', '05512']","['05200', '05287', 'a0715', '05486', '05357', 'a0437', '05242', '05270', '05281', '05242', 'a0730']"
202648061910,nar,48,名古屋,10,瑞駆特別(3歳),ダ,1700,,−,17:15,9,"['2023103374', '2023102509', '2023104822', '2023102697', '2023104281', '2023104842', '2023106710', '2023100993', '2023102600']","['a05dc', '05666', '05053', '05557', 'a023e', 'a02bb', '05648', 'a06c6', '05638']","['05486', '05200', 'a030a', '05177', 'a0712', 'a03eb', '05671', 'a0715', '05486']"
202648061911,nar,48,名古屋,11,八仙花雨幻特別(A),ダ,1700,,−,17:45,12,"['2022101641', '2019101121', '2019104289', '2021103457', '2021107270', '2019104672', '2018103167', '2018104160', '2021106802', '2022106184', '2017100970', '2020100078']","['05648', '05638', 'a05dc', 'a023e', '05053', '05324', '05368', '05666', '05543', '05489', '05370', 'a06c6']","['a02e8', '05486', '00823', '05281', '05230', 'a0437', '05368', '05274', '05357', '05604', '05242', '05263']"
202648061912,nar,48,名古屋,12,金シャチ最終戦(C),ダ,1500,,−,18:20,12,"['2020100618', '2022100811', '2022105213', '2022102381', '2022100206', '2021103807', '2022101146', '2021106961', '2021106809', '2021101620', '2022101740', '2022107191']","['05324', 'a06c6', '05638', '05648', '05489', '05370', 'a02bb', '05666', 'a0032', 'a05dc', '05053', '05435']","['a0437', '05177', 'a03ea', 'a030a', 'a03ea', '05671', 'a03eb', 'a02e8', '00823', 'a030a', '05242', '05177']"
202650061901,nar,50,園田,1,C3,ダ,820,,−,14:20,12,"['2020106508', '2022103679', '2022102356', '2020101556', '2021107073', '2021100278', '2021107112', '2018100004', '2022100663', '2020103449', '2022106349', '2022102467']","['05670', '00894', '05364', '05522', '05530', '05616', 'a06c8', '05669', '05328', 'a0259', 'a05dd', '05474']","['05605', '05704', '05777', '05725', '05466', 'a01f5', 'a0477', '05528', 'a0378', 'a0265', '05768', '05756']"
202650061902,nar,50,園田,2,3歳C1,ダ,1400,,−,14:50,12,"['2023100620', '2023104912', '2023102089', '2023103938', '2023102774', '2023106550', '2023103144', '2023105893', '2023104477', '2023105088', '2023102192', '2023103185']","['05328', '05364', '05616', '05474', 'a06c8', '05581', '05639', '05681', '05545', '05390', '05646', '00894']","['05586', '05777', '05718', '05768', '05590', '05704', '05775', 'a029e', '05760', '05775', 'a029e', '05289']"
202650061903,nar,50,園田,3,C3二,ダ,1400,,−,15:20,10,"['2022105017', '2020106920', '2022106268', '2022106215', '2020105701', '2022104889', '2021103050', '2021104002', '2022100809', '2015106523']","['05667', '05545', '05474', '05672', '05681', 'a06c8', '05584', 'a05dd', '05636', '05616']","['a029f', '05567', '05756', 'a0212', '05756', '05623', '05700', '05268', '05352', '05715']"
202650061904,nar,50,園田,4,C3一,ダ,1400,,−,15:50,10,"['2021102665', '2019100131', '2017100899', '2022101069', '2021101925', '2019104877', '2020105455', '2021106677', '2021104853', '2021103933']","['00815', '05544', '05639', '05545', '05628', 'a0259', 'a05dd', '05390', '05364', 'a06c8']","['05291', '05757', '05735', '05775', '05268', 'a01f5', '05427', '05707', '05567', 'a0477']"
202650061905,nar,50,園田,5,C2二,ダ,1400,,−,16:25,11,"['2022104355', '2020106028', '2020100214', '2020100803', '2020101044', '2021104044', '2019103400', '2019103397', '2013105685', '2021100056', '2018104241']","['05544', '05328', '05667', '05584', 'a06c8', '05390', '05530', '05636', '05364', '05628', '05474']","['05715', 'a0221', 'a029f', 'a03c4', '05623', '05774', 'a02f1', 'a0265', '05700', '05707', '05321']"
202650061906,nar,50,園田,6,C2一,ダ,1400,,−,17:00,11,"['2022104636', '2021105985', '2021107241', '2022101147', '2020100317', '2021100129', '2021104343', '2021106162', '2018106146', '2018103483', '2020100065']","['05390', '05545', '05544', '05639', 'a05dd', '00894', '05681', '05474', '05405', '05672', '05581']","['05777', '05775', '05752', '05734', '05427', 'a0438', '05574', '05744', '05470', '05623', '05268']"
202650061907,nar,50,園田,7,C2二,ダ,1230,,−,17:35,10,"['2022102586', '2021103635', '2022105562', '2018103015', '2022102800', '2021102245', '2019106103', '2018100772', '2017101987', '2021103181']","['05672', '05390', 'a0259', '05667', '05669', '05639', 'a06c7', 'a05dd', 'a06c8', '05328']","['05352', 'a029f', 'a01f5', '05740', '05623', '05352', '05321', '05482', 'a0438', '05752']"
202650061908,nar,50,園田,8,C2一,ダ,1230,,−,18:10,11,"['2021104624', '2020105235', '2019102575', '2020102604', '2020100620', '2018100803', '2022100484', '2021106402', '2018103705', '2022105446', '2020106977']","['05474', '05681', '05639', 'a05dd', '05669', '05584', '05530', '05544', 'a06c7', '05646', '05328']","['05707', 'a029e', '05466', '05268', 'a0265', '05707', '05704', '05760', '05774', '05760', '05707']"
202650061909,nar,50,園田,9,C1,ダ,1700,,−,18:45,9,"['2022103712', '2022103945', '2022105193', '2022105729', '2022103496', '2022106887', '2018103451', '2022102759', '2021105183']","['05530', '05544', '05669', '00894', '05639', '05667', '05328', '00815', '05646']","['05774', 'a02f1', '05740', '05586', '05704', '05623', 'a03c4', '05704', '05775']"
202650061910,nar,50,園田,10,兵庫ジョッキーズ楽天競馬賞B2,ダ,820,,−,19:20,11,"['2022102369', '2017106302', '2022107015', '2022101451', '2022107027', '2022101033', '2021102975', '2019103945', '2020110048', '2022101555', '2018100515']","['05628', '05681', '05530', '05544', '05390', '05646', 'a06c8', '00894', '05670', '05639', 'a0259']","['05268', '05775', '05774', '05700', 'a029f', '05760', '05755', '05289', 'a029e', 'a0477', '05470']"
202650061911,nar,50,園田,11,アサヒスーパードライカップA1A2,ダ,1230,,−,19:55,12,"['2019105167', '2020102186', '2017104072', '2016110126', '2020106573', '2020104198', '2019105678', '2020105093', '2018103819', '2021106122', '2022100711', '2020106401']","['05616', '05544', '05639', '05669', '05646', '05390', '05581', '05530', '05328', '05681', '00894', '05364']","['05768', '05755', '05567', '05768', '05289', '05586', '05232', '05774', '05760', '05734', '05774', '05718']"
202650061912,nar,50,園田,12,B1B2,ダ,820,,−,20:30,12,"['2019102384', '2021104545', '2018101694', '2020100258', '2019106622', '2018100251', '2022100614', '2022107053', '2020105420', '2022107267', '2021104631', '2021103761']","['05338', '05328', 'a06c8', '05672', '05390', '05584', '05616', '00894', '05669', '05667', '05474', '05544']","['05268', '05702', '05478', '05466', '05700', '05470', '05768', '05752', '05740', '05744', '05756', '05775']"
